Motor,Trial,Speed,Duration,Start_Angle,End_Angle,Angle_Change,Voltage
2,0,4,0.13,1512,1630,118,12.5
2,1,4,0.13,1630,1764,134,12.5
2,2,4,0.13,1764,1925,161,12.5
2,3,4,0.13,1925,2064,139,12.5
2,4,4,0.13,2064,2185,121,12.5
2,5,4,0.13,2185,2383,198,12.5
2,6,4,0.13,2383,2601,218,12.5
2,7,4,0.13,2601,2799,198,12.5
2,8,4,0.13,2799,3053,254,12.5
2,9,4,0.13,3053,3430,377,12.5
2,10,4,0.13,3431,3809,378,12.5
2,11,4,0.13,3809,57,344,12.5
2,12,4,0.13,57,365,308,12.5
2,13,4,0.13,365,587,222,12.5
2,14,4,0.13,587,738,151,12.5
2,15,4,0.13,738,880,142,12.5
2,16,4,0.13,880,1086,206,12.5
2,17,4,0.13,1086,1189,103,12.5
2,18,4,0.13,1189,1316,127,12.5
2,19,4,0.13,1316,1435,119,12.5
2,20,4,0.13,1435,1583,148,12.5
2,21,4,0.13,1583,1621,38,12.5
2,22,4,0.13,1621,1790,169,12.5
2,23,4,0.13,1790,1972,182,12.5
2,24,4,0.13,1972,2117,145,12.5
2,25,4,0.13,2118,2293,175,12.5
2,26,4,0.13,2293,2515,222,12.5
2,27,4,0.13,2515,2688,173,12.5
2,28,4,0.13,2688,2926,238,12.5
2,29,4,0.13,2926,3241,315,12.5
2,30,4,0.13,3241,3606,365,12.5
2,31,4,0.13,3606,4006,400,12.5
2,32,4,0.13,4006,233,323,12.5
2,33,4,0.13,233,488,255,12.5
2,34,4,0.13,488,697,209,12.5
2,35,4,0.13,697,787,90,12.5
2,36,4,0.13,787,932,145,12.5
2,37,4,0.13,932,1099,167,12.5
2,38,4,0.13,1099,1193,94,12.5
2,39,4,0.13,1193,1288,95,12.5
2,40,4,0.13,1288,1394,106,12.5
2,41,4,0.13,1394,1550,156,12.5
2,42,4,0.13,1550,1681,131,12.5
2,43,4,0.13,1681,1845,164,12.5
2,44,4,0.13,1845,1996,151,12.5
2,45,4,0.13,1996,2127,131,12.5
2,46,4,0.13,2127,2327,200,12.5
2,47,4,0.13,2327,2579,252,12.5
2,48,4,0.13,2579,2772,193,12.5
2,49,4,0.13,2772,3004,232,12.5
2,50,4,0.13,3003,3327,324,12.5
2,51,4,0.13,3327,3704,377,12.5
2,52,4,0.13,3704,4062,358,12.5
2,53,4,0.13,4062,282,316,12.5
2,54,4,0.13,282,547,265,12.5
2,55,4,0.13,547,698,151,12.5
2,56,4,0.13,698,763,65,12.5
2,57,4,0.13,762,915,153,12.5
2,58,4,0.13,915,1101,186,12.5
2,59,4,0.13,1102,1214,112,12.5
2,60,4,0.13,1214,1334,120,12.5
2,61,4,0.13,1334,1424,90,12.5
2,62,4,0.13,1424,1533,109,12.5
2,63,4,0.13,1533,1589,56,12.5
2,64,4,0.13,1589,1634,45,12.5
2,65,4,0.13,1634,1782,148,12.5
2,66,4,0.13,1782,1935,153,12.5
2,67,4,0.13,1935,2090,155,12.5
2,68,4,0.13,2090,2280,190,12.5
2,69,4,0.13,2280,2515,235,12.5
2,70,4,0.13,2515,2702,187,12.5
2,71,4,0.13,2702,2912,210,12.5
2,72,4,0.13,2912,3209,297,12.5
2,73,4,0.13,3209,3561,352,12.5
2,74,4,0.13,3561,3923,362,12.5
2,75,4,0.13,3923,162,335,12.5
2,76,4,0.13,162,436,274,12.5
2,77,4,0.13,436,645,209,12.5
2,78,4,0.13,645,757,112,12.5
2,79,4,0.13,758,912,154,12.5
2,80,4,0.13,912,1077,165,12.5
2,81,4,0.13,1077,1173,96,12.5
2,82,4,0.13,1173,1228,55,12.5
2,83,4,0.13,1228,1332,104,12.5
2,84,4,0.13,1332,1484,152,12.5
2,85,4,0.13,1484,1619,135,12.5
